"session","bsp","stimulus_name","ki",link,matched_pair
"sitzung_01","bsp1","Invention No 1 (after JS Bach)",TRUE,"https://sync.academiccloud.de/index.php/s/sl13UbzjMjDrLr0/download",1
"sitzung_01","bsp2","Rachmaninov - Prelude in Db",FALSE,"https://sync.academiccloud.de/index.php/s/OwQWkYMhJLZqW2D/download",2
"sitzung_01","bsp3","Mazurka Op 1 No 2 (after F Chopin)",TRUE,"https://sync.academiccloud.de/index.php/s/i0gSbtXz8EPol6L/download",3
"sitzung_01","bsp4","Suite (after S Rachmaninov)",TRUE,"https://sync.academiccloud.de/index.php/s/oudgEEIAQ5UTsQL/download",2
"sitzung_01","bsp5","Inventio BWV 793",FALSE,"https://sync.academiccloud.de/index.php/s/XpXustBIOYEs6BM/download",1
"sitzung_01","bsp6","Chopin - Mazurka Op 59 No 2",FALSE,"https://sync.academiccloud.de/index.php/s/Etz9ItOy13H7kNG/download",3
"sitzung_02","bsp1","DeepBach - Wer nur den lieben Gott",TRUE,"https://sync.academiccloud.de/index.php/s/CduwbbXkcUamtzQ/download",4
"sitzung_02","bsp2","Bach - Wer nur den lieben Gott BWV 647",FALSE,"https://sync.academiccloud.de/index.php/s/kHXyvcIdr4PVA5v/download",4
"sitzung_02","bsp3","James Newton Howard - Fantastic Beasts ...",FALSE,"https://sync.academiccloud.de/index.php/s/aYmySv30Z2AkrP7/download",5
"sitzung_02","bsp4","AIVA - Romanticism in D minor",TRUE,"https://sync.academiccloud.de/index.php/s/RRMG00c8IMI9cbJ/download",5
"sitzung_03","bsp1","Mozart Menuett KV5",FALSE,"https://sync.academiccloud.de/index.php/s/6pxFwEQ34tJZsfl/download",6
"sitzung_03","bsp2","Menuett WÃ¼rfelspiel-Menuett (opus infinity)",TRUE,"https://sync.academiccloud.de/index.php/s/80WAS1vtD1ejOIX/download",6
"sitzung_03","bsp3","Printemps (after Stravinsky)",TRUE,"https://sync.academiccloud.de/index.php/s/vZS9VGbWj73FkS9/download",7
"sitzung_03","bsp4","Stravinsky - Le Sacre du Printemps, Pt. 2, Dans Sacrale",FALSE,"https://sync.academiccloud.de/index.php/s/3OoAf8eK7UkYsBf/download",7
